名稱,中國大陸CN,香港HK,日本JP,韓國KR,新加坡SG,泰國TH,菲律賓PH,馬來西亞MY,美國US,英國GB,沙烏地阿拉伯SA,荷蘭NL
中華電信(HiNet),146566.4,234000,531000,39905.28,172488.32,311.04,,9952,1037888,40000,,
台灣固網(TFN),80000,74988.32,70000,,60000,,,,288588.64,,,
中華電信(TWGate)(轉國際),29242.56,67665.22,93433.12,15909.76,90466.56,9711.55,1399.68,622.08,145000,1100,155.52,
NTT,,200000,200000,,,,,,,,,
速博(ncic),33000,66000,22000,10000,4000,,,,120000,,,
是方電訊(Chief),1000,200000,20000,,20000,,,100,10000,,,
亞太交換中心(EBIX),3000,30000,100,,,,,,111000,,,
鑫晟數位(ShinCheng),20000,20000,1000,,,,,,100000,,,
中研院(ASNet),,10000,10000,,20000,,,,30000,,,20000
中嘉和網,14000,40000,10000,,,,,,20000,,,
